comprimento_msg,contem_exclamacao,palavras_negativas,label
41,0,3,1
71,1,4,1
45,0,3,1
16,1,2,0
35,0,1,0
138,1,2,1
36,0,2,0
118,1,4,1
96,1,1,0
52,0,4,1
133,0,3,1
144,0,3,1
88,0,2,0
19,0,2,0
110,1,4,1
80,0,1,0
90,1,0,0
65,0,4,1
84,0,3,1
11,0,0,0
70,1,3,1
58,1,1,0
93,1,2,0
65,0,1,0
132,0,2,0
49,0,4,1
136,0,1,0
47,0,2,0
35,1,2,0
59,0,1,0
146,0,2,0
74,0,0,0
87,1,4,1
26,0,2,0
41,0,1,0
41,0,4,1
27,1,4,1
137,0,1,0
124,1,3,1
85,1,1,0
144,1,0,1
138,0,1,0
31,1,4,1
32,1,4,1
36,0,2,0
132,0,1,0
83,0,4,1
74,1,0,0
118,1,4,1
117,0,0,0
84,0,1,0
71,1,2,0
120,1,2,1
33,0,3,1
110,1,0,1
86,0,0,0
115,0,3,1
16,0,0,0
71,1,0,0
78,1,3,1
52,0,2,0
99,0,0,0
12,0,0,0
111,0,4,1
115,1,0,1
81,1,2,0
104,0,0,0
80,0,4,1
33,0,0,0
39,0,4,1
110,1,3,1
133,1,4,1
65,1,2,0
55,0,1,0
68,0,4,1
97,1,0,0
14,0,3,1
147,0,1,0
59,0,4,1
111,1,3,1
59,1,4,1
103,1,2,1
94,1,4,1
10,0,0,0
64,1,0,0
133,0,3,1
64,1,0,0
116,0,0,0
48,1,0,0
46,0,1,0
45,0,0,0
81,0,4,1
91,0,4,1
29,1,1,0
41,1,1,0
116,0,1,0
70,0,4,1
117,1,2,1
48,0,1,0
22,1,0,0
75,0,3,1
89,1,2,0
103,1,4,1
65,1,2,0
121,0,0,0
70,1,0,0
118,0,1,0
52,1,0,0
59,0,2,0
134,0,2,0
134,1,2,1
93,0,0,0
65,1,3,1
18,1,0,0
140,0,3,1
98,0,2,0
106,1,4,1
111,1,2,1
132,1,3,1
111,0,0,0
113,1,2,1
141,1,2,1
75,1,0,0
75,1,0,0
149,1,2,1
98,0,0,0
83,1,4,1
32,1,2,0
26,1,0,0
37,1,3,1
86,1,1,0
94,1,3,1
129,1,2,1
55,1,2,0
104,0,3,1
117,1,1,1
123,1,3,1
108,1,0,1
123,0,0,0
140,1,2,1
126,0,1,0
119,1,3,1
149,1,2,1
60,1,3,1
146,1,4,1
75,0,4,1
16,1,1,0
47,1,3,1
76,0,2,0
72,1,0,0
103,1,4,1
21,0,1,0
120,1,3,1
36,1,2,0
144,0,0,0
55,1,0,0
75,0,0,0
56,1,4,1
98,1,2,0
61,0,2,0
84,0,0,0
31,0,4,1
84,1,2,0
77,0,4,1
14,0,2,0
77,1,0,0
30,1,2,0
48,0,3,1
138,1,0,1
109,1,4,1
138,1,1,1
136,1,3,1
79,1,1,0
52,1,4,1
97,1,4,1
127,1,1,1
27,1,2,0
89,1,3,1
128,0,2,0
115,1,3,1
130,0,0,0
59,0,3,1
68,1,4,1
29,1,1,0
15,0,3,1
87,0,1,0
129,0,1,0
109,0,4,1
65,0,0,0
32,1,3,1
69,1,4,1
117,0,2,0
147,0,0,0
76,1,4,1
47,1,1,0
20,1,2,0
68,0,3,1
126,1,0,1
55,1,3,1
12,0,3,1
